Key,SourceString
NAME_ID_ITEM_USED_YAKUSOU,"Medicinal Herb"
NAME_ID_ITEM_USED_JYOUYAKUSOU,"Strong Medicine"
NAME_ID_ITEM_USED_AMORUNOMIZU,"Amor Seco Essence"
NAME_ID_ITEM_USED_SEKAIJYUNOSIZUKU,"Yggdrasil Dew"
NAME_ID_ITEM_USED_DOKUKESISOU,"Antidotal Herb"
NAME_ID_ITEM_USED_MANGETUSOU,"Moonwort Bulb"
NAME_ID_ITEM_USED_TENSINOSUZU,"Angel Bell"
NAME_ID_ITEM_USED_MEZAMENOHANA,"Wakerobin"
NAME_ID_ITEM_USED_SEKAIJYUNOHA,"Yggdrasil Leaf"
NAME_ID_ITEM_USED_MAHOUNOSEISUI,"Magic Water"
NAME_ID_ITEM_USED_ERUHUNONOMIGUSURI,"Elfin Elixir"
NAME_ID_ITEM_USED_MADARAKUMOITO,"Tangleweb"
NAME_ID_ITEM_USED_DOKUGANOKONA,"Coagulant"
NAME_ID_ITEM_USED_YUMEMINOHANA,"Sleeping Hibiscus"
NAME_ID_ITEM_USED_OMOIDENOSUZU,"Evac-u-Bell"
NAME_ID_ITEM_USED_MAHOUNO_KOBIN,"Single Phial"
NAME_ID_ITEM_USED_TOKUYAKUSOU,"Special Medicine"
NAME_ID_ITEM_USED_IYASISOU,"Superior Medicine"
NAME_ID_ITEM_USED_JYOUDOKUKESISOU,"Strong Antidote"
NAME_ID_ITEM_USED_TOKUDOKUKESISOU,"Special Antidote"
NAME_ID_ITEM_USED_KITUKESOU,"Softwort"
NAME_ID_ITEM_USED_TSUKINOMEGUMI,"Lunaria"
NAME_ID_ITEM_URUBEA_BRONZE,"Urbea Copper Coin"
NAME_ID_ITEM_URUBEA_SILVER,"Urbea Silver Coin"
NAME_ID_ITEM_URUBEA_GOLD,"Urbea Gold Coin"
NAME_ID_ITEM_USED_KENJANOSEISUI,"Sage's Elixir"
NAME_ID_ITEM_TICKET_HUKUBIKIKEN,"Lottery Ticket"
NAME_ID_ITEM_TICKET_BIYOUIN,"Free Salon Ticket"
NAME_ID_ITEM_OTHER_IRAISYO,"NPC's Form"
NAME_ID_ITEM_USED_UCHINAOSI,"うちなおしの宝珠"
NAME_ID_ITEM_TANE_CHIKARA,"Seed of Strength"
NAME_ID_ITEM_TANE_SUBAYASA,"Seed of Agility"
NAME_ID_ITEM_TANE_MAMORI,"Seed of Resilience"
NAME_ID_ITEM_TANE_KIYOUSA,"Seed of Deftness"
NAME_ID_ITEM_TANE_UTSUKUSHISOU,"Pretty Betsy"
NAME_ID_ITEM_TANE_INOCHI,"Seed of Life"
NAME_ID_ITEM_TANE_HUSHIGI,"Seed of Magic"
NAME_ID_ITEM_TANE_SHINKOU,"Seed of Therapeusis"
NAME_ID_ITEM_TANE_MARYOKU,"Seed of Sorcery"
NAME_ID_ITEM_OTHER_GENKIDAMA,"Bonus Orb S"
NAME_ID_ITEM_COIN_ATLUS,"Atlas Coin"
NAME_ID_ITEM_COIN_BAZUZU,"Pazuzu Coin"
NAME_ID_ITEM_COIN_BERIAL,"Belial Coin"
NAME_ID_ITEM_COIN_AKURYOU,"Evil Trinity Coin"
NAME_ID_ITEM_COIN_CATS,"ザ・キャッツコイン"
NAME_ID_ITEM_COIN_BARAMOS,"Baramos Coin"
