Key,SourceString
BattleUI_Fight,"Fight"
BattleUI_Escape,"Escape"
BattleUI_Strategy,"Strategy"
BattleUI_Swap,"Swap"
BattleUI_SpecialSkill,"Specials"
BattleUI_Defense,"Defense"
BattleUI_Config,"Configuration"
BattleUI_Status,"Status"
BattleUI_Back,"Back"
BattleUI_Attack,"Attack"
BattleUI_ConsumptionMP,"Consoom MP"
BattleUI_DeathBlow,"Death Blow"
BattleUI_ConsumptionTension,"Consoom Tension"
BattleUI_NumItems,"Number of Items"
BattleUI_Number,"{0}Number"
BattleUI_Monsters,"{0}Monsters"
BattleUI_Omakase,"Omakase"
BattleUI_EquipEquip,"Equip"
BattleUI_EquipRemove,"Remove"
BattleUI_EquipCancel,"Cancel"
BattleUI_BattleSpeed,"Battle Speed"
BattleUI_BattleSpeed_Normal,"Normal"
BattleUI_BattleSpeed_Fast,"Fast"
BattleUI_BattleSpeed_VeryFast,"Very Fast"
BattleUI_Decide,"Decide"
BattleUI_BattleSpeed_Explanation,"Battle Speed Explanation Goes Here"
BattleUI_ConditionViewer,"Condition Viewer"
BattleUI_ConditionNormal,"(Normal)"
BattleUI_ConditionViewer2,"Condition Viewer 2"
BattleUI_ChangeBattleMember,"Change Member"
BattleUI_Plan_Normal,"Normal Plan"
BattleUI_Plan_Auto,"Auto Plan"
BattleUI_ConsumptionGold,"Consoom Gold"
BattleUI_GiveUp,"Give Up"
BattleUI_GiveUp_Confirm,"Sure you want to give up? You big fuggin baby"
BattleUI_GiveUp_Confirm_AutoDung,"AUTO DUNG"
BattleUI_GiveUp_Yes,"Yes"
BattleUI_GiveUp_No,"No"
BattleUI_Percent,"％"
