Key,SourceString
SYSTXT_TITLE_BOUKENNOSYO_00010,"Start an Adventure"
SYSTXT_TITLE_BOUKENNOSYO_00020,"Create an adventure book"
SYSTXT_TITLE_BOUKENNOSYO_00030,"Erase an Adventure"
SYSTXT_TITLE_BOUKENNOSYO_00040,"Receive gift"
SYSTXT_TITLE_BOUKENNOSYO_00050,"Watch demo movie"
SYSTXT_TITLE_BOUKENNOSYO_00060,"A note about streaming videos"
SYSTXT_TITLE_BOUKENNOSYO_01010,"No Adventure Book."
SYSTXT_TITLE_BOUKENNOSYO_01020,"Cannot make more adventure books. <lf>If you want to create a new adventure book, <lf> first delete an adventure book. <lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_10010,"Resume from autosave"
SYSTXT_TITLE_BOUKENNOSYO_10020,"Book of Adventures"
SYSTXT_TITLE_BOUKENNOSYO_10030,"Play Time"
SYSTXT_TITLE_BOUKENNOSYO_10040,"Recording date and time"
SYSTXT_TITLE_BOUKENNOSYO_11010,"Please select an adventure book."
SYSTXT_TITLE_BOUKENNOSYO_11020,"Would you like to make Nanban's Book of Adventures?"
SYSTXT_TITLE_BOUKENNOSYO_11030,"Choose an adventure book to clear records."
SYSTXT_TITLE_BOUKENNOSYO_20010,"Would you like to set the play environment? <lf><select><lf>Yes<lf>No<lf><select_end><break>"
SYSTXT_TITLE_BOUKENNOSYO_30010,"Are you sure you want to <lf> delete {SlotNum}: {Name} Lv {Level}<lf>{SavePoint} {Hour} : {Minutes}? <lf><yesno2><break>"
SYSTXT_TITLE_BOUKENNOSYO_30020,"Once erased, the Book of Adventures cannot be restored. <lf>Are you sure? <lf><yesno2><break>"
SYSTXT_TITLE_BOUKENNOSYO_30030,"Erasing the record of adventure book {Number}..."
SYSTXT_TITLE_BOUKENNOSYO_30040,"Cleared the record of adventure book {Number}."
SYSTXT_TITLE_BOUKENNOSYO_40010,"Receive gift"
SYSTXT_TITLE_BOUKENNOSYO_40020,"Enter Code"
SYSTXT_TITLE_BOUKENNOSYO_40030,"Enter download number"
SYSTXT_TITLE_BOUKENNOSYO_40040,"Enter Product Code"
SYSTXT_TITLE_BOUKENNOSYO_41010,"Please select the gift you would like to receive."
SYSTXT_TITLE_BOUKENNOSYO_41020,"This gift cannot be accepted <lf> because the conditions are not met."
SYSTXT_TITLE_BOUKENNOSYO_41030,"This adventure book has not <lf> received this gift yet."
SYSTXT_TITLE_BOUKENNOSYO_41040,"In this adventure book, you received this gift on {Day}, {Month}, <lf>{Year}."
SYSTXT_TITLE_BOUKENNOSYO_41050,"In this adventure book, you received this gift on {Day}, {Month}, <lf>{Year}, so <lf>you cannot receive it again. <lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_41060,"In this book of adventures, there are gifts that <lf> you cannot have any more. <lf>Keep things organized in-game. <lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_41070,"Will you receive <lf> gifts at {Slot}: {Name} Lv {Lv}<lf>{Place} {Hour} : {Minutes}? <lf><yesno><break>"
SYSTXT_TITLE_BOUKENNOSYO_41080,"You have received your gift! <lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_41090,"Unable to <lf> receive gifts in autosave. <lf>Choose an adventure book. <lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_41100,"There is already a record in the adventure book. <lf>Choose another adventure book."
SYSTXT_TITLE_BOUKENNOSYO_41110,"The gift applied to the adventure book is <lf> not installed. <lf>This adventure book is currently unavailable."
SYSTXT_TITLE_BOUKENNOSYO_41120,"You cannot <lf> receive gifts until you are reincarnated into one of the five races. <lf>Please receive it after progressing the story."
SYSTXT_TITLE_BOUKENNOSYO_50010,"Would you like to watch '{Movie_Name}'? <lf><yesno><break>"
